"date","Port1_SM","Port2_SM","Port3_SM","Port4_SM","Port5_SM"
"2017-06-07 15:40:00",0.1351396143436432,0.20022299885749817,nan,0.17283962666988373,nan
"2017-06-07 15:50:00",0.14162330329418182,0.20324809849262238,nan,0.17525197565555573,nan
"2017-06-07 16:00:00",0.14376649260520935,0.20437708497047424,nan,0.17725281417369843,nan
"2017-06-07 16:10:00",0.15098626911640167,0.20287111401557922,0.20774635672569275,0.18043635785579681,nan
"2017-06-07 16:20:00",0.16634586453437805,0.1998433619737625,nan,0.19063274562358856,nan
"2017-06-07 16:30:00",0.16879142820835114,0.201738178730011,nan,0.19218119978904724,nan
"2017-06-07 16:40:00",0.17041485011577606,0.20324809849262238,nan,0.19372428953647614,nan
"2017-06-07 16:50:00",0.17162878811359406,0.20512810349464417,nan,0.19526204466819763,nan
"2017-06-07 17:00:00",0.17122448980808258,0.20625217258930206,nan,0.19679446518421173,nan
"2017-06-07 17:10:00",0.17122448980808258,0.20699991285800934,nan,0.1975586712360382,nan
"2017-06-07 17:20:00",0.16388776898384094,0.20699991285800934,nan,0.1882999986410141,nan
"2017-06-07 17:30:00",0.149719700217247,0.2092353105545044,0.25220954418182373,0.16017703711986542,0.25020360946655273
"2017-06-07 17:40:00",0.1450480818748474,0.2107190638780594,0.25585904717445374,0.16100409626960754,0.24172824621200562
"2017-06-07 17:50:00",0.15350984036922455,0.20437708497047424,0.2515421211719513,0.19140763580799103,nan
"2017-06-07 18:00:00",0.15476682782173157,0.20400108397006989,0.25087347626686096,0.1960289180278778,nan
"2017-06-07 18:10:00",0.15476682782173157,0.20475275814533234,0.2515421211719513,0.1964118480682373,nan
"2017-06-07 18:20:00",0.15476682782173157,0.20512810349464417,0.2515421211719513,0.19679446518421173,nan
"2017-06-07 18:30:00",0.15476682782173157,0.20512810349464417,0.25187599658966064,0.1971767395734787,nan
"2017-06-07 18:40:00",0.15476682782173157,0.20512810349464417,0.25187599658966064,0.1975586712360382,nan
"2017-06-07 18:50:00",0.15476682782173157,0.20512810349464417,0.25220954418182373,0.1975586712360382,nan
"2017-06-07 19:00:00",0.15434817969799042,0.20512810349464417,0.25220954418182373,0.1975586712360382,nan
"2017-06-07 19:10:00",0.15476682782173157,0.20512810349464417,0.25220954418182373,0.1975586712360382,nan
"2017-06-07 19:20:00",0.15434817969799042,0.20512810349464417,0.2525428235530853,0.19794028997421265,nan
"2017-06-07 19:30:00",0.15434817969799042,0.20512810349464417,0.25287580490112305,0.19794028997421265,nan
"2017-06-07 19:40:00",0.15434817969799042,0.20512810349464417,0.25287580490112305,0.19794028997421265,nan
"2017-06-07 19:50:00",0.15434817969799042,0.20512810349464417,0.25287580490112305,0.19832156598567963,nan
"2017-06-07 20:00:00",0.15434817969799042,0.20512810349464417,0.2532084584236145,0.19832156598567963,nan
"2017-06-07 20:10:00",0.1539291888475418,0.20512810349464417,0.2532084584236145,0.19832156598567963,nan
"2017-06-07 20:20:00",0.1539291888475418,0.20475275814533234,0.2532084584236145,0.19870251417160034,nan
"2017-06-07 20:30:00",0.1539291888475418,0.20475275814533234,0.2532084584236145,0.19870251417160034,nan
"2017-06-07 20:40:00",0.15350984036922455,0.20475275814533234,0.2532084584236145,0.19870251417160034,nan
"2017-06-07 20:50:00",0.15350984036922455,0.20475275814533234,0.2532084584236145,0.19870251417160034,nan
"2017-06-07 21:00:00",0.15309013426303864,0.20475275814533234,0.25354084372520447,0.19870251417160034,nan
